model,initialization,hidden_dim,dropout,lr,layers,accuracy,macro_f1,weighted_f1,epochs_run
GCN,degree_clustering,64,0.3,0.0005,2,0.14166666666666666,0.13484331375824396,0.13484331375824396,50
GCN,degree_clustering,32,0.3,0.0005,2,0.16666666666666666,0.13399056140991625,0.13399056140991625,50
GCN,degree_clustering,32,0.3,0.001,2,0.16666666666666666,0.1333821733821734,0.13338217338217337,50
GCN,degree_clustering,32,0.3,0.0005,3,0.13333333333333333,0.12271841835974244,0.12271841835974244,50
GCN,degree_clustering,64,0.5,0.0005,3,0.13333333333333333,0.12107038689146982,0.12107038689146982,50
GCN,degree_clustering,64,0.5,0.001,3,0.13333333333333333,0.12087539655790414,0.12087539655790414,50
GCN,degree_clustering,32,0.5,0.0005,3,0.125,0.11292784276655243,0.11292784276655242,39
GCN,degree_clustering,32,0.3,0.0005,4,0.11666666666666667,0.10901530459768909,0.10901530459768907,50
GCN,degree_clustering,32,0.5,0.001,2,0.13333333333333333,0.10847477967153424,0.10847477967153424,50
GCN,degree_clustering,64,0.5,0.0005,2,0.11666666666666667,0.09620418475637667,0.09620418475637667,50
